method,parameter,scenario,minimum,p25,median,mean,p75,p90,p95,maximum,variance,low,medium,high,critical,staticSpearmanCorrelation,changedFromBaselineOdPaths
logit_shift,1.5,Q4,0.015415167108194468,0.14844661219793667,0.22810113103664562,0.2456151986299052,0.310126026540059,0.4044368334228014,0.5197114840198687,0.8407352636728138,0.019476872915833103,817,519,66,11,1.0,9
complement_uplift,0.25,Q1,0.042350341222085586,0.09029058348901386,0.12379099374783109,0.1406549734441354,0.162971071263172,0.2152625162418776,0.2928332937894486,0.6515187208709239,0.0068129769915938835,1320,78,15,0,1.0,5
complement_uplift,0.25,Q2,0.113864325706725,0.15822455548135828,0.18922327026363206,0.20482790592812228,0.22547751427623386,0.2738640139018981,0.3456420724408521,0.6775421048510599,0.005833430761282129,1203,185,25,0,1.0,5
complement_uplift,0.25,Q3,0.15361482317293018,0.19598513057742162,0.2255932971974277,0.24049793618145804,0.2602212391926647,0.3064372050202144,0.37499542531446917,0.6920070024010864,0.0053218141415723764,972,409,32,0,1.0,6
complement_uplift,0.25,Q4,0.1714262153371826,0.212904878863729,0.24188996903890592,0.25648095369949175,0.2757891980656215,0.3210325916953805,0.38814806773893634,0.6984884297869522,0.005100185623573275,814,562,37,0,1.0,9
complement_uplift,0.5,Q1,0.07811332030814655,0.12426325662565196,0.15651260971499303,0.17274681196851485,0.19422952554074546,0.2445681709376709,0.31924210403936865,0.6645325914269693,0.0063136235802145925,1283,109,21,0,1.0,5
complement_uplift,0.5,Q2,0.21065899351106054,0.25017365185761187,0.2777863046780934,0.29168640957018627,0.3100804130054958,0.35318154235056937,0.41711911603661495,0.7127649333041857,0.004628635010448306,350,1023,40,0,1.0,11
complement_uplift,0.5,Q3,0.279887547695426,0.3159366029072955,0.3411275089589634,0.35380851569603833,0.3705892870136439,0.40991026450578755,0.4682402417943903,0.7379566669338,0.0038523367834708937,0,1365,48,0,1.0,1
complement_uplift,0.5,Q4,0.3098768429528901,0.3444246246386019,0.36856644798524385,0.3807193504602929,0.39680128161191996,0.43448472541047145,0.490385533607954,0.7488695387504486,0.0035381546080284184,0,1351,62,0,1.0,1
complement_uplift,0.75,Q1,0.11254074764896682,0.15696723615628638,0.1880122522216422,0.20364019577674553,0.22432064744750368,0.27277941965066826,0.3446646896088967,0.6770604650672758,0.005850870003204887,1205,183,25,0,1.0,5
complement_uplift,0.75,Q2,0.2968805538475988,0.3320789338419592,0.3566753921512711,0.3690571561453421,0.38544193965670215,0.42383503205215695,0.4807885553442357,0.7441402900008351,0.003672669298167681,0,1359,54,0,1.0,1
complement_uplift,0.75,Q3,0.3873215668685347,0.41799244138597236,0.43942510068731433,0.4502142202384849,0.464491457973654,0.4979461146762085,0.547573806817074,0.777051072784891,0.002788616494017229,0,1274,136,3,1.0,2
complement_uplift,0.75,Q4,0.4251930477302214,0.4539680640380571,0.4740759067591953,0.4841981186594662,0.49759283775776797,0.5289795623730618,0.5755396188808004,0.7908322107743668,0.0024545259632221075,0,1090,317,6,1.0,2
complement_uplift,1.0,Q1,0.14568249880049267,0.1884499008508902,0.21833555529574633,0.2333798806002751,0.2532880304654488,0.29993713246098275,0.3691378805979507,0.6891204911196003,0.00542203369578128,1035,347,31,0,1.0,6
complement_uplift,1.0,Q2,0.37368393192101734,0.40503751072111127,0.4269472404850322,0.43797651550094124,0.4525715508698478,0.4867708761795084,0.5375032332018285,0.7720884432603622,0.0029141420188145395,0,1304,107,2,1.0,2
complement_uplift,1.0,Q3,0.47872743871722223,0.5048225066222105,0.5230576143148529,0.5322370984916984,0.5443843063576848,0.5728478422733265,0.6150715485340481,0.8103129602087198,0.002018614256175845,0,271,1135,7,1.0,9
complement_uplift,1.0,Q4,0.5212404785960295,0.5452073303912826,0.5619552509229051,0.570386090713181,0.5815426177515558,0.6076847741675828,0.6464648729158051,0.8257831255043855,0.001702779661030296,0,0,1397,16,1.0,0
complement_uplift,1.5,Q1,0.2082992314199289,0.24793202019685645,0.2756272219927818,0.28956888172659373,0.3080178746679013,0.3512478563217709,0.41537657358371455,0.7119062341918116,0.004656351305186361,379,995,39,0,1.0,11
complement_uplift,1.5,Q2,0.5030388464438487,0.5279168776532339,0.5453015259682259,0.5540528921140854,0.5656335715550125,0.5927696088099081,0.6330240617185876,0.8191596928153129,0.0018347144863768308,0,0,1402,11,1.0,0
complement_uplift,1.5,Q3,0.6226629850980826,0.6415525944086129,0.6547525623605497,0.6613973762542762,0.6701904559135332,0.6907945438201196,0.7213592971984832,0.8626899885459448,0.0010577485158410858,0,0,1369,44,1.0,1
complement_uplift,1.5,Q4,0.6678698910558187,0.684496428475823,0.6961149726970308,0.701963703871763,0.709703327576432,0.72783894028034,0.7547418797442745,0.8791404308023788,0.0008194832886723761,0,0,1337,76,1.0,5
