segment_id,event_id,event_start,region_id,highway,log_length_meters,oneway,sinuosity,bearing_sin,bearing_cos,vertex_count,prior_exposure_count,prior_exposure_frequency,prior_observed_events,years_since_prior_positive,target,split
osm-gaul2-73705-1565007542-6347062870-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.92261922480587,0.0,1.0127490158006343,-0.06545106287360562,0.997855780345394,40.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565007543-1565007542-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,5.795254997033853,0.0,1.0001487604967276,0.9974432210164723,-0.07146342314978217,4.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565007543-1565471715-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.845167376078395,0.0,1.0115587530140062,-0.05212643722277816,0.9986404931417812,30.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565007543-3060053704-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,8.159754527346085,0.0,1.4604884237492983,-0.9999996268022524,0.0008639417549426792,96.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565007543-3128347949-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.710142440334446,0.0,1.0541257118316387,-0.6445099852312294,0.7645958925715207,51.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565007621-3162488398-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,1.8832745780638283,0.0,1.0,0.09727041378754414,0.9952579899712436,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565007621-6347062870-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,6.106677616561728,0.0,1.0039757520212553,0.5928170938738719,-0.8053371301578842,15.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565007621-6349386137-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,6.738601445934923,1.0,1.002323321510422,-0.6645450951179008,0.7472481626305548,9.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565007801-7587942396-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,8.215918895129022,0.0,1.08121365885185,-0.7504215402874064,-0.6609595387561,182.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565471715-1565007543-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.845167376078395,0.0,1.0115587530140062,0.05212643722277818,-0.9986404931417812,30.0,0.0,0.0,0.0,99.0,0,train
